check,fold,value,ok
regression_A0,0,0.0,True
regression_A2,0,0.0,True
affine_identity,0,0.0,True
vs_corner_00_eq_B0,0,0.0,True
wd_cell_ce_1e-4_eq_base,0,0.0,True
wd_cell_wce_1e-4_eq_base,0,0.0,True
wstrength_b0_eq_B0,0,0.0,True
wstrength_b1_eq_B1,0,0.0,True
regression_A0,1,0.0,True
regression_A2,1,0.0,True
affine_identity,1,0.0,True
vs_corner_00_eq_B0,1,0.0,True
wd_cell_ce_1e-4_eq_base,1,0.0,True
wd_cell_wce_1e-4_eq_base,1,0.0,True
wstrength_b0_eq_B0,1,0.0,True
wstrength_b1_eq_B1,1,0.0,True
regression_A0,2,0.0,True
regression_A2,2,0.0,True
affine_identity,2,0.0,True
vs_corner_00_eq_B0,2,0.0,True
wd_cell_ce_1e-4_eq_base,2,0.0,True
wd_cell_wce_1e-4_eq_base,2,0.0,True
wstrength_b0_eq_B0,2,0.0,True
wstrength_b1_eq_B1,2,0.0,True
regression_A0,3,0.0,True
regression_A2,3,0.0,True
affine_identity,3,0.0,True
vs_corner_00_eq_B0,3,0.0,True
wd_cell_ce_1e-4_eq_base,3,0.0,True
wd_cell_wce_1e-4_eq_base,3,0.0,True
wstrength_b0_eq_B0,3,0.0,True
wstrength_b1_eq_B1,3,0.0,True
regression_A0,4,0.0,True
regression_A2,4,0.0,True
affine_identity,4,0.0,True
vs_corner_00_eq_B0,4,0.0,True
wd_cell_ce_1e-4_eq_base,4,0.0,True
wd_cell_wce_1e-4_eq_base,4,0.0,True
wstrength_b0_eq_B0,4,0.0,True
wstrength_b1_eq_B1,4,0.0,True
regression_A0,5,0.0,True
regression_A2,5,0.0,True
affine_identity,5,0.0,True
vs_corner_00_eq_B0,5,0.0,True
wd_cell_ce_1e-4_eq_base,5,0.0,True
wd_cell_wce_1e-4_eq_base,5,0.0,True
wstrength_b0_eq_B0,5,0.0,True
wstrength_b1_eq_B1,5,0.0,True
regression_A0,6,0.0,True
regression_A2,6,0.0,True
affine_identity,6,0.0,True
vs_corner_00_eq_B0,6,0.0,True
wd_cell_ce_1e-4_eq_base,6,0.0,True
wd_cell_wce_1e-4_eq_base,6,0.0,True
wstrength_b0_eq_B0,6,0.0,True
wstrength_b1_eq_B1,6,0.0,True
regression_A0,7,0.0,True
regression_A2,7,0.0,True
affine_identity,7,0.0,True
vs_corner_00_eq_B0,7,0.0,True
wd_cell_ce_1e-4_eq_base,7,0.0,True
wd_cell_wce_1e-4_eq_base,7,0.0,True
wstrength_b0_eq_B0,7,0.0,True
wstrength_b1_eq_B1,7,0.0,True
regression_A0,8,0.0,True
regression_A2,8,0.0,True
affine_identity,8,0.0,True
vs_corner_00_eq_B0,8,0.0,True
wd_cell_ce_1e-4_eq_base,8,0.0,True
wd_cell_wce_1e-4_eq_base,8,0.0,True
wstrength_b0_eq_B0,8,0.0,True
wstrength_b1_eq_B1,8,0.0,True
regression_A0,9,0.0,True
regression_A2,9,0.0,True
affine_identity,9,0.0,True
vs_corner_00_eq_B0,9,0.0,True
wd_cell_ce_1e-4_eq_base,9,0.0,True
wd_cell_wce_1e-4_eq_base,9,0.0,True
wstrength_b0_eq_B0,9,0.0,True
wstrength_b1_eq_B1,9,0.0,True
regression_A0,10,0.0,True
regression_A2,10,0.0,True
affine_identity,10,0.0,True
vs_corner_00_eq_B0,10,0.0,True
wd_cell_ce_1e-4_eq_base,10,0.0,True
wd_cell_wce_1e-4_eq_base,10,0.0,True
wstrength_b0_eq_B0,10,0.0,True
wstrength_b1_eq_B1,10,0.0,True
regression_A0,11,0.0,True
regression_A2,11,0.0,True
affine_identity,11,0.0,True
vs_corner_00_eq_B0,11,0.0,True
wd_cell_ce_1e-4_eq_base,11,0.0,True
wd_cell_wce_1e-4_eq_base,11,0.0,True
wstrength_b0_eq_B0,11,0.0,True
wstrength_b1_eq_B1,11,0.0,True
regression_A0,12,0.0,True
regression_A2,12,0.0,True
affine_identity,12,0.0,True
vs_corner_00_eq_B0,12,0.0,True
wd_cell_ce_1e-4_eq_base,12,0.0,True
wd_cell_wce_1e-4_eq_base,12,0.0,True
wstrength_b0_eq_B0,12,0.0,True
wstrength_b1_eq_B1,12,0.0,True
regression_A0,13,0.0,True
regression_A2,13,0.0,True
affine_identity,13,0.0,True
vs_corner_00_eq_B0,13,0.0,True
wd_cell_ce_1e-4_eq_base,13,0.0,True
wd_cell_wce_1e-4_eq_base,13,0.0,True
wstrength_b0_eq_B0,13,0.0,True
wstrength_b1_eq_B1,13,0.0,True
regression_A0,14,0.0,True
regression_A2,14,0.0,True
affine_identity,14,0.0,True
vs_corner_00_eq_B0,14,0.0,True
wd_cell_ce_1e-4_eq_base,14,0.0,True
wd_cell_wce_1e-4_eq_base,14,0.0,True
wstrength_b0_eq_B0,14,0.0,True
wstrength_b1_eq_B1,14,0.0,True
